N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.88,82.00,6.50,202.94,rice
85,58,41,21.77,80.32,7.03,226.96,rice
60,55,42,23.00,82.32,7.84,263.93,maize
100,54,42,26.96,71.94,8.41,267.93,maize
40,67,53,29.93,71.92,9.54,274.93,chickpea
25,74,73,31.93,71.92,11.53,297.93,chickpea
20,60,62,34.93,71.92,13.53,297.93,kidneybeans
25,73,71,39.93,71.92,17.83,297.93,pigeonpeas
40,60,61,43.93,71.92,19.54,297.93,mungbean
115,115,117,43.93,71.92,21.73,297.93,banana
120,117,137,53.93,71.92,23.93,297.93,banana
28,72,93,53.93,71.92,25.93,297.93,grapes
100,118,147,61.93,71.92,27.53,297.93,orange
